Sugar_Hz,MN9_Mean,MN9_Std
0,0.0,0.0
20,0.0,0.0
40,5.5,5.554277630799526
60,50.1,5.448853090330111
80,79.2,3.2802438933713454
100,87.1,3.8845849199110063
120,94.1,5.485435260760991
140,102.3,4.517742799230607
160,103.5,5.103920062069938
180,106.9,4.437341546466758
200,110.1,4.763402145525821
